NAME,CYLINDERS,DISPLACEMENT,HORSEPOWER,WEIGHT,ACCELERATION,MPG
vw rabbit,4,90,70,1937,14.2,29
honda civic,4,91,53,1795,17.4,33
dodge aspen se,6,225,100,3651,17.7,20
ford granada ghia,6,250,78,3574,21,18
pontiac ventura sj,6,250,110,3645,16.2,18.5
amc pacer d/l,6,258,95,3193,17.8,17.5
volkswagen rabbit,4,97,71,1825,12.2,29.5
datsun b-210,4,85,70,1990,17,32
toyota corolla,4,97,75,2155,16.4,28
ford pinto,4,140,72,2565,13.6,26.5
volvo 245,4,130,102,3150,15.7,20
plymouth volare premier v8,8,318,150,3940,13.2,13
peugeot 504,4,120,88,3270,21.9,19
toyota mark ii,6,156,108,2930,15.5,19
mercedes-benz 280s,6,168,120,3820,16.7,16.5
cadillac seville,8,350,180,4380,12.1,16.5
chevy c10,8,350,145,4055,12,13
ford f108,8,302,130,3870,15,13
dodge d100,8,318,150,3755,14,13
honda accord cvcc,4,98,68,2045,18.5,31.5
buick opel isuzu deluxe,4,111,80,2155,14.8,30
renault 5 gtl,4,79,58,1825,18.6,36
plymouth arrow gs,4,122,96,2300,15.5,25.5
datsun f-10 hatchback,4,85,70,1945,16.8,33.5
chevrolet caprice classic,8,305,145,3880,12.5,17.5
oldsmobile cutlass supreme,8,260,110,4060,19,17
dodge monaco brougham,8,318,145,4140,13.7,15.5
mercury cougar brougham,8,302,130,4295,14.9,15
chevrolet concours,6,250,110,3520,16.4,17.5
buick skylark,6,231,105,3425,16.9,20.5
plymouth volare custom,6,225,100,3630,17.7,19
ford granada,6,250,98,3525,19,18.5
pontiac grand prix lj,8,400,180,4220,11.1,16
chevrolet monte carlo landau,8,350,170,4165,11.4,15.5
chrysler cordoba,8,400,190,4325,12.2,15.5
ford thunderbird,8,351,149,4335,14.5,16
volkswagen rabbit custom,4,97,78,1940,14.5,29
pontiac sunbird coupe,4,151,88,2740,16,24.5
toyota corolla liftback,4,97,75,2265,18.2,26
ford mustang ii 2+2,4,140,89,2755,15.8,25.5
chevrolet chevette,4,98,63,2051,17,30.5
dodge colt m/m,4,98,83,2075,15.9,33.5
subaru dl,4,97,67,1985,16.4,30
volkswagen dasher,4,97,78,2190,14.1,30.5
datsun 810,6,146,97,2815,14.5,22
bmw 320i,4,121,110,2600,12.8,21.5
mazda rx-4,3,80,110,2720,13.5,21.5
volkswagen rabbit custom diesel,4,90,48,1985,21.5,43.1
ford fiesta,4,98,66,1800,14.4,36.1
mazda glc deluxe,4,78,52,1985,19.4,32.8
datsun b210 gx,4,85,70,2070,18.6,39.4
honda civic cvcc,4,91,60,1800,16.4,36.1
oldsmobile cutlass salon brougham,8,260,110,3365,15.5,19.9
dodge diplomat,8,318,140,3735,13.2,19.4
mercury monarch ghia,8,302,139,3570,12.8,20.2
pontiac phoenix lj,6,231,105,3535,19.2,19.2
chevrolet malibu,6,200,95,3155,18.2,20.5
ford fairmont (auto),6,200,85,2965,15.8,20.2
ford fairmont (man),4,140,88,2720,15.4,25.1
plymouth volare,6,225,100,3430,17.2,20.5
amc concord,6,232,90,3210,17.2,19.4
buick century special,6,231,105,3380,15.8,20.6
mercury zephyr,6,200,85,3070,16.7,20.8
dodge aspen,6,225,110,3620,18.7,18.6
amc concord d/l,6,258,120,3410,15.1,18.1
chevrolet monte carlo landau,8,305,145,3425,13.2,19.2
buick regal sport coupe (turbo),6,231,165,3445,13.4,17.7
ford futura,8,302,139,3205,11.2,18.1
dodge magnum xe,8,318,140,4080,13.7,17.5
chevrolet chevette,4,98,68,2155,16.5,30
toyota corona,4,134,95,2560,14.2,27.5
datsun 510,4,119,97,2300,14.7,27.2
dodge omni,4,105,75,2230,14.5,30.9
toyota celica gt liftback,4,134,95,2515,14.8,21.1
plymouth sapporo,4,156,105,2745,16.7,23.2
oldsmobile starfire sx,4,151,85,2855,17.6,23.8
datsun 200-sx,4,119,97,2405,14.9,23.9
audi 5000,5,131,103,2830,15.9,20.3
volvo 264gl,6,163,125,3140,13.6,17
saab 99gle,4,121,115,2795,15.7,21.6
peugeot 604sl,6,163,133,3410,15.8,16.2
volkswagen scirocco,4,89,71,1990,14.9,31.5
honda accord lx,4,98,68,2135,16.6,29.5
pontiac lemans v6,6,231,115,3245,15.4,21.5
mercury zephyr 6,6,200,85,2990,18.2,19.8
ford fairmont 4,4,140,88,2890,17.3,22.3
amc concord dl 6,6,232,90,3265,18.2,20.2
dodge aspen 6,6,225,110,3360,16.6,20.6
chevrolet caprice classic,8,305,130,3840,15.4,17
ford ltd landau,8,302,129,3725,13.4,17.6
mercury grand marquis,8,351,138,3955,13.2,16.5
dodge st. regis,8,318,135,3830,15.2,18.2
buick estate wagon (sw),8,350,155,4360,14.9,16.9
ford country squire (sw),8,351,142,4054,14.3,15.5
chevrolet malibu classic (sw),8,267,125,3605,15,19.2
chrysler lebaron town @ country (sw),8,360,150,3940,13,18.5
vw rabbit custom,4,89,71,1925,14,31.9
maxda glc deluxe,4,86,65,1975,15.2,34.1
dodge colt hatchback custom,4,98,80,1915,14.4,35.7
amc spirit dl,4,121,80,2670,15,27.4
mercedes benz 300d,5,183,77,3530,20.1,25.4
cadillac eldorado,8,350,125,3900,17.4,23
peugeot 504,4,141,71,3190,24.8,27.2
oldsmobile cutlass salon brougham,8,260,90,3420,22.2,23.9
plymouth horizon,4,105,70,2200,13.2,34.2
plymouth horizon tc3,4,105,70,2150,14.9,34.5
datsun 210,4,85,65,2020,19.2,31.8
fiat strada custom,4,91,69,2130,14.7,37.3
buick skylark limited,4,151,90,2670,16,28.4
chevrolet citation,6,173,115,2595,11.3,28.8
oldsmobile omega brougham,6,173,115,2700,12.9,26.8
pontiac phoenix,4,151,90,2556,13.2,33.5
vw rabbit,4,98,76,2144,14.7,41.5
toyota corolla tercel,4,89,60,1968,18.8,38.1
chevrolet chevette,4,98,70,2120,15.5,32.1
datsun 310,4,86,65,2019,16.4,37.2
chevrolet citation,4,151,90,2678,16.5,28
ford fairmont,4,140,88,2870,18.1,26.4
amc concord,4,151,90,3003,20.1,24.3
dodge aspen,6,225,90,3381,18.7,19.1
audi 4000,4,97,78,2188,15.8,34.3
toyota corona liftback,4,134,90,2711,15.5,29.8
mazda 626,4,120,75,2542,17.5,31.3
datsun 510 hatchback,4,119,92,2434,15,37
toyota corolla,4,108,75,2265,15.2,32.2
mazda glc,4,86,65,2110,17.9,46.6
dodge colt,4,156,105,2800,14.4,27.9
datsun 210,4,85,65,2110,19.2,40.8
vw rabbit c (diesel),4,90,48,2085,21.7,44.3
vw dasher (diesel),4,90,48,2335,23.7,43.4
audi 5000s (diesel),5,121,67,2950,19.9,36.4
mercedes-benz 240d,4,146,67,3250,21.8,30
honda civic 1500 gl,4,91,67,1850,13.8,44.6
renault lecar deluxe,4,85,?,1835,17.3,40.9
subaru dl,4,97,67,2145,18,33.8
vokswagen rabbit,4,89,62,1845,15.3,29.8
datsun 280-zx,6,168,132,2910,11.4,32.7
mazda rx-7 gs,3,70,100,2420,12.5,23.7
triumph tr7 coupe,4,122,88,2500,15.1,35
ford mustang cobra,4,140,?,2905,14.3,23.6
honda accord,4,107,72,2290,17,32.4
plymouth reliant,4,135,84,2490,15.7,27.2
buick skylark,4,151,84,2635,16.4,26.6
dodge aries wagon (sw),4,156,92,2620,14.4,25.8
chevrolet citation,6,173,110,2725,12.6,23.5
plymouth reliant,4,135,84,2385,12.9,30
toyota starlet,4,79,58,1755,16.9,39.1
plymouth champ,4,86,64,1875,16.4,39
honda civic 1300,4,81,60,1760,16.1,35.1
subaru,4,97,67,2065,17.8,32.3
datsun 210 mpg,4,85,65,1975,19.4,37
toyota tercel,4,89,62,2050,17.3,37.7
mazda glc 4,4,91,68,1985,16,34.1
plymouth horizon 4,4,105,63,2215,14.9,34.7
ford escort 4w,4,98,65,2045,16.2,34.4
ford escort 2h,4,98,65,2380,20.7,29.9
volkswagen jetta,4,105,74,2190,14.2,33
renault 18i,4,100,?,2320,15.8,34.5
honda prelude,4,107,75,2210,14.4,33.7
toyota corolla,4,108,75,2350,16.8,32.4
datsun 200sx,4,119,100,2615,14.8,32.9
mazda 626,4,120,74,2635,18.3,31.6
peugeot 505s turbo diesel,4,141,80,3230,20.4,28.1
volvo diesel,6,145,76,3160,19.6,30.7
toyota cressida,6,168,116,2900,12.6,25.4
datsun 810 maxima,6,146,120,2930,13.8,24.2
buick century,6,231,110,3415,15.8,22.4
oldsmobile cutlass ls,8,350,105,3725,19,26.6
ford granada gl,6,200,88,3060,17.1,20.2
chrysler lebaron salon,6,225,85,3465,16.6,17.6
chevrolet cavalier,4,112,88,2605,19.6,28
chevrolet cavalier wagon,4,112,88,2640,18.6,27
chevrolet cavalier 2-door,4,112,88,2395,18,34
pontiac j2000 se hatchback,4,112,85,2575,16.2,31
dodge aries se,4,135,84,2525,16,29
pontiac phoenix,4,151,90,2735,18,27
ford fairmont futura,4,140,92,2865,16.4,24
amc concord dl,4,151,?,3035,20.5,23
volkswagen rabbit l,4,105,74,1980,15.3,36
mazda glc custom l,4,91,68,2025,18.2,37
mazda glc custom,4,91,68,1970,17.6,31
plymouth horizon miser,4,105,63,2125,14.7,38
mercury lynx l,4,98,70,2125,17.3,36
nissan stanza xe,4,120,88,2160,14.5,36
honda accord,4,107,75,2205,14.5,36
toyota corolla,4,108,70,2245,16.9,34
honda civic,4,91,67,1965,15,38
honda civic (auto),4,91,67,1965,15.7,32
datsun 310 gx,4,91,67,1995,16.2,38
buick century limited,6,181,110,2945,16.4,25
oldsmobile cutlass ciera (diesel),6,262,85,3015,17,38
chrysler lebaron medallion,4,156,92,2585,14.5,26
ford granada l,6,232,112,2835,14.7,22
toyota celica gt,4,144,96,2665,13.9,32
dodge charger 2.2,4,135,84,2370,13,36
chevrolet camaro,4,151,90,2950,17.3,27
ford mustang gl,4,140,86,2790,15.6,27
vw pickup,4,97,52,2130,24.6,44
dodge rampage,4,135,84,2295,11.6,32
ford ranger,4,120,79,2625,18.6,28
chevy s-10,4,119,82,2720,19.4,31
