ROOMS,LSTAT,PTRATIO,COST
6.982,4.86,16.1,695100
7.236,6.93,18.4,758100
6.616,8.93,18.4,596400
7.42,6.47,18.4,701400
6.849,7.53,18.4,592200
6.635,4.54,18.4,478800
5.972,9.97,18.4,426300
4.973,12.64,18.4,338100
6.122,5.98,18.4,464100
6.023,11.72,18.4,407400
6.266,7.9,18.4,453600
6.567,9.28,18.4,499800
5.705,11.5,18.4,340200
5.914,18.33,18.4,373800
5.782,15.94,18.4,415800
6.382,10.36,18.4,485100
6.113,12.73,18.4,441000
6.426,7.2,19.6,499800
6.376,6.87,19.6,485100
6.041,7.7,19.6,428400
5.708,11.74,19.6,388500
6.415,6.12,19.6,525000
6.431,5.08,19.6,516600
6.312,6.15,19.6,483000
6.083,12.79,19.6,466200
5.868,9.97,16.9,405300
6.333,7.34,16.9,474600
6.144,9.09,16.9,415800
5.706,12.43,16.9,359100
6.031,7.83,16.9,407400
6.316,5.68,20.2,466200
6.31,6.75,20.2,434700
6.037,8.01,20.2,443100
5.869,9.8,20.2,409500
5.895,10.56,20.2,388500
6.059,8.51,20.2,432600
5.985,9.74,20.2,399000
5.968,9.29,20.2,392700
7.241,5.49,15.5,686700
6.54,8.65,15.9,346500
6.696,7.18,17.6,501900
6.874,4.61,17.6,655200
6.014,10.53,18.8,367500
5.898,12.67,18.8,361200
6.516,6.36,17.9,485100
6.635,5.99,17,514500
6.939,5.89,19.7,558600
6.49,5.98,19.7,480900
6.579,5.49,18.3,506100
5.884,7.79,18.3,390600
6.728,4.5,17,632100
5.663,8.05,22,382200
5.936,5.57,22,432600
6.212,17.6,20.2,373800
6.395,13.27,20.2,455700
6.127,11.48,20.2,476700
6.112,12.67,20.2,474600
6.398,7.79,20.2,525000
6.251,14.19,20.2,417900
5.362,10.19,20.2,436800
5.803,14.64,20.2,352800
3.561,7.12,20.2,577500
4.963,14,20.2,459900
3.863,13.33,20.2,485100
4.906,34.77,20.2,289800
4.138,37.97,20.2,289800
7.313,13.44,20.2,315000
6.649,23.24,20.2,291900
6.794,21.24,20.2,279300
6.38,23.69,20.2,275100
6.223,21.78,20.2,214200
6.968,17.21,20.2,218400
6.545,21.08,20.2,228900
5.536,23.6,20.2,237300
5.52,24.56,20.2,258300
4.368,30.63,20.2,184800
5.277,30.81,20.2,151200
4.652,28.28,20.2,220500
5,31.99,20.2,155400
4.88,30.62,20.2,214200
5.39,20.85,20.2,241500
5.713,17.11,20.2,317100
6.051,18.76,20.2,487200
5.036,25.68,20.2,203700
6.193,15.17,20.2,289800
5.887,16.35,20.2,266700
6.471,17.12,20.2,275100
6.405,19.37,20.2,262500
5.747,19.92,20.2,178500
5.453,30.59,20.2,105000
5.852,29.97,20.2,132300
5.987,26.77,20.2,117600
6.343,20.32,20.2,151200
6.404,20.31,20.2,254100
5.349,19.77,20.2,174300
5.531,27.38,20.2,178500
5.683,22.98,20.2,105000
4.138,23.34,20.2,249900
5.608,12.13,20.2,585900
5.617,26.4,20.2,361200
6.852,19.78,20.2,577500
5.757,10.11,20.2,315000
6.657,21.22,20.2,361200
4.628,34.37,20.2,375900
5.155,20.08,20.2,342300
4.519,36.98,20.2,147000
6.434,29.05,20.2,151200
6.782,25.79,20.2,157500
5.304,26.64,20.2,218400
5.957,20.62,20.2,184800
6.824,22.74,20.2,176400
6.411,15.02,20.2,350700
6.006,15.7,20.2,298200
5.648,14.1,20.2,436800
6.103,23.29,20.2,281400
5.565,17.16,20.2,245700
5.896,24.39,20.2,174300
5.837,15.69,20.2,214200
6.202,14.52,20.2,228900
6.193,21.52,20.2,231000
6.38,24.08,20.2,199500
6.348,17.64,20.2,304500
6.833,19.69,20.2,296100
6.425,12.03,20.2,338100
6.436,16.22,20.2,300300
6.208,15.17,20.2,245700
6.629,23.27,20.2,281400
6.461,18.05,20.2,201600
6.152,26.45,20.2,182700
5.935,34.02,20.2,176400
5.627,22.88,20.2,268800
5.818,22.11,20.2,220500
6.406,19.52,20.2,359100
6.219,16.59,20.2,386400
6.485,18.85,20.2,323400
5.854,23.79,20.2,226800
6.459,23.98,20.2,247800
6.341,17.79,20.2,312900
6.251,16.44,20.2,264600
6.185,18.13,20.2,296100
6.417,19.31,20.2,273000
6.749,17.44,20.2,281400
6.655,17.73,20.2,319200
6.297,17.27,20.2,338100
7.393,16.74,20.2,373800
6.728,18.71,20.2,312900
6.525,18.13,20.2,296100
5.976,19.01,20.2,266700
5.936,16.94,20.2,283500
6.301,16.23,20.2,312900
6.081,14.7,20.2,420000
6.701,16.42,20.2,344400
6.376,14.65,20.2,371700
6.317,13.99,20.2,409500
6.513,10.29,20.2,424200
6.209,13.22,20.2,449400
5.759,14.13,20.2,417900
5.952,17.15,20.2,399000
6.003,21.32,20.2,401100
5.926,18.13,20.2,401100
5.713,14.76,20.2,422100
6.167,16.29,20.2,417900
6.229,12.87,20.2,411600
6.437,14.36,20.2,487200
6.98,11.66,20.2,625800
5.427,18.14,20.2,289800
6.162,24.1,20.2,279300
6.484,18.68,20.2,350700
5.304,24.91,20.2,252000
6.185,18.03,20.2,306600
6.229,13.11,20.2,449400
6.242,10.74,20.2,483000
6.75,7.74,20.2,497700
7.061,7.01,20.2,525000
5.762,10.42,20.2,457800
5.871,13.34,20.2,432600
6.312,10.58,20.2,445200
6.114,14.98,20.2,401100
5.905,11.45,20.2,432600
5.454,18.06,20.1,319200
5.414,23.97,20.1,147000
5.093,29.68,20.1,170100
5.983,18.07,20.1,285600
5.983,13.35,20.1,422100
5.707,12.01,19.2,457800
5.926,13.59,19.2,514500
5.67,17.6,19.2,485100
5.39,21.14,19.2,413700
5.794,14.1,19.2,384300
6.019,12.92,19.2,445200
5.569,15.1,19.2,367500
6.027,14.33,19.2,352800
6.593,9.67,21,470400
6.12,9.08,21,432600
6.976,5.64,21,501900
6.794,6.48,21,462000
6.03,7.88,21,249900
