NAME,CYLINDERS,DISPLACEMENT,HORSEPOWER,WEIGHT,ACCELERATION,MODELYEAR,MPG
datsun b210 gx,4,85,70,2070,18.6,78,39.4
honda civic cvcc,4,91,60,1800,16.4,78,36.1
oldsmobile cutlass salon brougham,8,260,110,3365,15.5,78,19.9
dodge diplomat,8,318,140,3735,13.2,78,19.4
mercury monarch ghia,8,302,139,3570,12.8,78,20.2
pontiac phoenix lj,6,231,105,3535,19.2,78,19.2
chevrolet malibu,6,200,95,3155,18.2,78,20.5
ford fairmont (auto),6,200,85,2965,15.8,78,20.2
ford fairmont (man),4,140,88,2720,15.4,78,25.1
plymouth volare,6,225,100,3430,17.2,78,20.5
amc concord,6,232,90,3210,17.2,78,19.4
buick century special,6,231,105,3380,15.8,78,20.6
mercury zephyr,6,200,85,3070,16.7,78,20.8
dodge aspen,6,225,110,3620,18.7,78,18.6
amc concord d/l,6,258,120,3410,15.1,78,18.1
chevrolet monte carlo landau,8,305,145,3425,13.2,78,19.2
buick regal sport coupe (turbo),6,231,165,3445,13.4,78,17.7
ford futura,8,302,139,3205,11.2,78,18.1
dodge magnum xe,8,318,140,4080,13.7,78,17.5
chevrolet chevette,4,98,68,2155,16.5,78,30
toyota corona,4,134,95,2560,14.2,78,27.5
datsun 510,4,119,97,2300,14.7,78,27.2
dodge omni,4,105,75,2230,14.5,78,30.9
toyota celica gt liftback,4,134,95,2515,14.8,78,21.1
plymouth sapporo,4,156,105,2745,16.7,78,23.2
oldsmobile starfire sx,4,151,85,2855,17.6,78,23.8
datsun 200-sx,4,119,97,2405,14.9,78,23.9
audi 5000,5,131,103,2830,15.9,78,20.3
volvo 264gl,6,163,125,3140,13.6,78,17
saab 99gle,4,121,115,2795,15.7,78,21.6
peugeot 604sl,6,163,133,3410,15.8,78,16.2
volkswagen scirocco,4,89,71,1990,14.9,78,31.5
honda accord lx,4,98,68,2135,16.6,78,29.5
pontiac lemans v6,6,231,115,3245,15.4,79,21.5
mercury zephyr 6,6,200,85,2990,18.2,79,19.8
ford fairmont 4,4,140,88,2890,17.3,79,22.3
amc concord dl 6,6,232,90,3265,18.2,79,20.2
dodge aspen 6,6,225,110,3360,16.6,79,20.6
chevrolet caprice classic,8,305,130,3840,15.4,79,17
ford ltd landau,8,302,129,3725,13.4,79,17.6
mercury grand marquis,8,351,138,3955,13.2,79,16.5
dodge st. regis,8,318,135,3830,15.2,79,18.2
buick estate wagon (sw),8,350,155,4360,14.9,79,16.9
ford country squire (sw),8,351,142,4054,14.3,79,15.5
chevrolet malibu classic (sw),8,267,125,3605,15,79,19.2
chrysler lebaron town @ country (sw),8,360,150,3940,13,79,18.5
vw rabbit custom,4,89,71,1925,14,79,31.9
maxda glc deluxe,4,86,65,1975,15.2,79,34.1
dodge colt hatchback custom,4,98,80,1915,14.4,79,35.7
amc spirit dl,4,121,80,2670,15,79,27.4
mercedes benz 300d,5,183,77,3530,20.1,79,25.4
cadillac eldorado,8,350,125,3900,17.4,79,23
peugeot 504,4,141,71,3190,24.8,79,27.2
oldsmobile cutlass salon brougham,8,260,90,3420,22.2,79,23.9
plymouth horizon,4,105,70,2200,13.2,79,34.2
plymouth horizon tc3,4,105,70,2150,14.9,79,34.5
datsun 210,4,85,65,2020,19.2,79,31.8
fiat strada custom,4,91,69,2130,14.7,79,37.3
buick skylark limited,4,151,90,2670,16,79,28.4
chevrolet citation,6,173,115,2595,11.3,79,28.8
oldsmobile omega brougham,6,173,115,2700,12.9,79,26.8
pontiac phoenix,4,151,90,2556,13.2,79,33.5
vw rabbit,4,98,76,2144,14.7,80,41.5
toyota corolla tercel,4,89,60,1968,18.8,80,38.1
chevrolet chevette,4,98,70,2120,15.5,80,32.1
datsun 310,4,86,65,2019,16.4,80,37.2
chevrolet citation,4,151,90,2678,16.5,80,28
ford fairmont,4,140,88,2870,18.1,80,26.4
amc concord,4,151,90,3003,20.1,80,24.3
dodge aspen,6,225,90,3381,18.7,80,19.1
audi 4000,4,97,78,2188,15.8,80,34.3
toyota corona liftback,4,134,90,2711,15.5,80,29.8
mazda 626,4,120,75,2542,17.5,80,31.3
datsun 510 hatchback,4,119,92,2434,15,80,37
toyota corolla,4,108,75,2265,15.2,80,32.2
mazda glc,4,86,65,2110,17.9,80,46.6
dodge colt,4,156,105,2800,14.4,80,27.9
datsun 210,4,85,65,2110,19.2,80,40.8
vw rabbit c (diesel),4,90,48,2085,21.7,80,44.3
vw dasher (diesel),4,90,48,2335,23.7,80,43.4
audi 5000s (diesel),5,121,67,2950,19.9,80,36.4
mercedes-benz 240d,4,146,67,3250,21.8,80,30
honda civic 1500 gl,4,91,67,1850,13.8,80,44.6
renault lecar deluxe,4,85,?,1835,17.3,80,40.9
subaru dl,4,97,67,2145,18,80,33.8
vokswagen rabbit,4,89,62,1845,15.3,80,29.8
datsun 280-zx,6,168,132,2910,11.4,80,32.7
mazda rx-7 gs,3,70,100,2420,12.5,80,23.7
triumph tr7 coupe,4,122,88,2500,15.1,80,35
ford mustang cobra,4,140,?,2905,14.3,80,23.6
honda accord,4,107,72,2290,17,80,32.4
plymouth reliant,4,135,84,2490,15.7,81,27.2
buick skylark,4,151,84,2635,16.4,81,26.6
dodge aries wagon (sw),4,156,92,2620,14.4,81,25.8
chevrolet citation,6,173,110,2725,12.6,81,23.5
plymouth reliant,4,135,84,2385,12.9,81,30
toyota starlet,4,79,58,1755,16.9,81,39.1
plymouth champ,4,86,64,1875,16.4,81,39
honda civic 1300,4,81,60,1760,16.1,81,35.1
subaru,4,97,67,2065,17.8,81,32.3
datsun 210 mpg,4,85,65,1975,19.4,81,37
toyota tercel,4,89,62,2050,17.3,81,37.7
mazda glc 4,4,91,68,1985,16,81,34.1
plymouth horizon 4,4,105,63,2215,14.9,81,34.7
ford escort 4w,4,98,65,2045,16.2,81,34.4
ford escort 2h,4,98,65,2380,20.7,81,29.9
volkswagen jetta,4,105,74,2190,14.2,81,33
renault 18i,4,100,?,2320,15.8,81,34.5
honda prelude,4,107,75,2210,14.4,81,33.7
toyota corolla,4,108,75,2350,16.8,81,32.4
datsun 200sx,4,119,100,2615,14.8,81,32.9
mazda 626,4,120,74,2635,18.3,81,31.6
peugeot 505s turbo diesel,4,141,80,3230,20.4,81,28.1
volvo diesel,6,145,76,3160,19.6,81,30.7
toyota cressida,6,168,116,2900,12.6,81,25.4
datsun 810 maxima,6,146,120,2930,13.8,81,24.2
buick century,6,231,110,3415,15.8,81,22.4
oldsmobile cutlass ls,8,350,105,3725,19,81,26.6
ford granada gl,6,200,88,3060,17.1,81,20.2
chrysler lebaron salon,6,225,85,3465,16.6,81,17.6
chevrolet cavalier,4,112,88,2605,19.6,82,28
chevrolet cavalier wagon,4,112,88,2640,18.6,82,27
chevrolet cavalier 2-door,4,112,88,2395,18,82,34
pontiac j2000 se hatchback,4,112,85,2575,16.2,82,31
dodge aries se,4,135,84,2525,16,82,29
pontiac phoenix,4,151,90,2735,18,82,27
ford fairmont futura,4,140,92,2865,16.4,82,24
amc concord dl,4,151,?,3035,20.5,82,23
volkswagen rabbit l,4,105,74,1980,15.3,82,36
mazda glc custom l,4,91,68,2025,18.2,82,37
mazda glc custom,4,91,68,1970,17.6,82,31
plymouth horizon miser,4,105,63,2125,14.7,82,38
mercury lynx l,4,98,70,2125,17.3,82,36
nissan stanza xe,4,120,88,2160,14.5,82,36
honda accord,4,107,75,2205,14.5,82,36
toyota corolla,4,108,70,2245,16.9,82,34
honda civic,4,91,67,1965,15,82,38
honda civic (auto),4,91,67,1965,15.7,82,32
datsun 310 gx,4,91,67,1995,16.2,82,38
buick century limited,6,181,110,2945,16.4,82,25
oldsmobile cutlass ciera (diesel),6,262,85,3015,17,82,38
chrysler lebaron medallion,4,156,92,2585,14.5,82,26
ford granada l,6,232,112,2835,14.7,82,22
toyota celica gt,4,144,96,2665,13.9,82,32
dodge charger 2.2,4,135,84,2370,13,82,36
chevrolet camaro,4,151,90,2950,17.3,82,27
ford mustang gl,4,140,86,2790,15.6,82,27
vw pickup,4,97,52,2130,24.6,82,44
dodge rampage,4,135,84,2295,11.6,82,32
ford ranger,4,120,79,2625,18.6,82,28
chevy s-10,4,119,82,2720,19.4,82,31
